Date,Open,High,Low,Close,Adj Close,Volume,Week 
5/25/20,427.769989,428.5,397.859985,419.730011,419.730011,29237400,22
6/1/20,418.829987,428.709991,404.25,419.600006,419.600006,22064600,23
6/8/20,416,445.570007,406.5,418.070007,418.070007,31469400,24
6/15/20,421.399994,453.970001,415.420013,453.720001,453.720001,26717500,25
6/22/20,455.01001,474.01001,442.23999,443.399994,443.399994,27985900,26
6/29/20,445.230011,492.279999,432.140015,476.890015,476.890015,25099900,27
7/6/20,480.769989,555.880005,479.799988,548.72998,548.72998,46646700,28
7/13/20,567.97998,575.369995,484.140015,492.98999,492.98999,93039400,29
7/20/20,489.140015,506.220001,467.540009,480.450012,480.450012,43476300,30
7/27/20,484.51001,497.790009,477.51001,488.880005,488.880005,32986500,31
8/3/20,490.859985,510.820007,486.679993,494.730011,494.730011,25425500,32
8/10/20,493.350006,497.459991,466.549988,482.679993,482.679993,23412000,33
8/17/20,484.190002,498.940002,479.100006,492.309998,492.309998,18139000,34
8/24/20,495.440002,549.039978,483.160004,523.890015,523.890015,44344000,35
8/31/20,521.159973,557.390015,485.980011,516.049988,516.049988,37742200,36
9/7/20,498.399994,522,476.809998,482.029999,482.029999,23696200,37
9/14/20,480.619995,504.660004,458.600006,469.959991,469.959991,29188000,38
9/21/20,467.690002,491.820007,466.320007,482.880005,482.880005,20162800,39
9/28/20,489.109985,529.549988,477.880005,503.059998,503.059998,27174000,40
10/5/20,506.799988,544.280029,501.700012,539.440002,539.440002,26443600,41
10/12/20,548.809998,572.48999,530.030029,530.789978,530.789978,31953100,42
10/19/20,537.070007,541.799988,481.350006,488.279999,488.279999,46946200,43
10/26/20,487.029999,513.900024,472.209991,475.73999,475.73999,34734600,44
11/2/20,478.869995,518.72998,475,514.72998,514.72998,22844800,45
11/9/20,485.540009,496.519989,463.410004,482.839996,482.839996,32252700,46
11/16/20,480,494.76001,477.299988,488.23999,488.23999,17789000,47
11/23/20,490.459991,493.25,475.839996,491.359985,491.359985,15371500,48
11/30/20,490.079987,509.470001,481.269989,498.309998,498.309998,18104300,49
12/7/20,500.01001,521.48999,491.290009,503.220001,503.220001,18926200,50
12/14/20,505.440002,536.369995,501.179993,534.450012,534.450012,20543800,51
12/21/20,530.049988,532.619995,512.210022,513.969971,513.969971,9337800,52
